config,method,time_bin,distances_mean,distances_std,distances_sem,local_betweenness_mean,local_betweenness_std,local_betweenness_sem,cost_benefit_mean,cost_benefit_std,cost_benefit_sem,isolated_ratio_mean,isolated_ratio_std,isolated_ratio_sem
BA-localized,Adaptive TD,0.575758,1.0,0.0,0.0,0.0016994966433410228,0.0010778148205068212,0.00010778148205068212,3.5874192116477315,4.630350766849112,0.46303507668491123,0.3516755793226378,0.13446841762868256,0.013446841762868256
BA-localized,Adaptive TD,0.585859,1.0,0.0,0.0,0.0015908075392459216,0.0011680389276264261,0.00011680389276264261,3.2135797427398876,3.031524362559718,0.30315243625597177,0.3654624678154088,0.13672668152123812,0.013672668152123812
BA-localized,Adaptive TD,0.59596,1.0,0.0,0.0,0.0015008559103339893,0.001096890865393777,0.00010968908653937769,3.1049311474116337,2.850293945037927,0.2850293945037927,0.37806496335908085,0.13882584097120065,0.013882584097120065
BA-localized,Adaptive TD,0.606061,1.0,0.0,0.0,0.00164332555602517,0.0012641591521798446,0.00012641591521798446,3.6049834280302964,4.57767046697556,0.45776704669755597,0.39302436125965534,0.13925212132349407,0.013925212132349407
BA-localized,Adaptive TD,0.616162,1.0,0.0,0.0,0.0014529239929251744,0.0010888584497275237,0.00010888584497275237,3.461302379261356,3.719200348702127,0.3719200348702127,0.4089007724301841,0.14000699473887884,0.014000699473887884
BA-localized,Adaptive TD,0.626263,1.0,0.0,0.0,0.0013465705561986473,0.000957668944467279,9.57668944467279e-05,3.008471926294178,2.931357964341302,0.29313579643413024,0.423099623687859,0.14434831962966466,0.014434831962966466
BA-localized,Adaptive TD,0.636364,1.0,0.0,0.0,0.0013177073288839528,0.0010322859554779428,0.00010322859554779429,2.917099609375005,2.4130840929260913,0.24130840929260913,0.4372192513368985,0.1414141843546623,0.01414141843546623
BA-localized,Adaptive TD,0.646465,1.0,0.0,0.0,0.0013555799581758388,0.0012940788876133788,0.00012940788876133788,2.9426301096906564,2.8630541102372655,0.28630541102372653,0.4501168548227373,0.1394240460668439,0.013942404606684389
BA-localized,Adaptive TD,0.656566,1.0,0.0,0.0,0.0015207511495054938,0.0011428812612609477,0.00011428812612609477,3.8405166903409067,4.387864644712043,0.43878646447120434,0.4658249158249161,0.1387832263974909,0.01387832263974909
BA-localized,Adaptive TD,0.666667,1.0,0.0,0.0,0.0012913971485686237,0.001002875507625232,0.0001002875507625232,3.841956380208359,4.046650930228237,0.4046650930228237,0.4817647058823531,0.1390554019143882,0.01390554019143882
